accession	source	species	lineage	called_species	called_lineage	correct
ERR766219	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR766220	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR766221	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR766222	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR766223	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR766224	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR766225	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR766226	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR2815610	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
ERR2815602	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR5485728	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR6930897	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR6046156	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR6045637	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR6046614	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR6046018	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596057	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596058	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596059	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596060	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596061	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596063	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596064	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596066	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596067	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596068	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9596070	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR10321131	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR10321135	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR10321144	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR10321147	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR10321153	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9593170	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR9593176	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR8234774	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR8234778	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR7983754	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
SRR8102332	ena	Mycobacterium_bovis	lineageBovis.BCG	Mycobacterium_bovis	lineageBovis.BCG	True
